lat(deg),lon(deg),TinJan,TinFeb,TinMar,TinApr,TinMay,TinJun,TinJul,TinAug,TinSep,TinOct,TinNov,TinDec
-90,-180,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-180,-10,-20,-33,-37,-37,-38,-40,-39,-38,-28,-18,-10
-70,-180,-1,-5,-11,-17,-19,-20,-22,-22,-20,-15,-8,-2
-60,-180,8,8,8,7,5,4,4,4,4,5,5,7
-50,-180,11,11,10,9,8,6,6,6,7,8,9,11
-40,-180,19,19,17,15,13,10,10,10,12,14,15,17
-30,-180,21,22,21,19,18,16,15,15,15,16,18,20
-20,-180,27,27,27,26,25,24,23,23,24,24,26,26
-10,-180,28,28,28,29,28,28,28,28,28,28,28,28
0,-180,28,28,28,28,28,28,28,28,29,29,29,28
10,-180,28,28,28,28,28,28,28,28,28,28,28,28
20,-180,20,20,20,21,23,25,27,27,27,25,23,22
30,-180,20,20,20,21,23,25,26,27,27,25,23,21
40,-180,17,17,17,18,19,22,24,24,24,22,20,18
50,-180,1,1,1,3,5,7,9,11,9,6,3,1
60,-180,-20,-22,-19,-13,-2,6,11,10,4,-5,-13,-19
70,-180,-22,-23,-22,-16,-5,1,4,4,0,-6,-13,-20
80,-180,-22,-24,-23,-16,-6,1,4,3,0,-6,-14,-20
90,-180,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-170,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-170,-10,-20,-33,-37,-37,-38,-40,-40,-38,-28,-18,-10
-70,-170,-1,-5,-12,-18,-20,-21,-23,-23,-21,-16,-7,-1
-60,-170,5,4,3,1,-1,-2,-3,-2,-2,-1,1,4
-50,-170,17,17,16,14,12,10,9,9,11,12,14,16
-40,-170,19,19,17,15,13,10,10,10,12,14,15,17
-30,-170,24,24,24,22,21,20,19,18,19,20,21,23
-20,-170,27,27,27,26,25,24,23,23,24,24,25,26
-10,-170,27,27,27,27,27,27,26,26,27,27,27,27
0,-170,28,28,28,28,28,28,28,28,28,28,28,28
10,-170,24,24,24,25,26,26,27,27,27,26,25,24
20,-170,21,21,22,23,24,25,26,27,26,26,24,22
30,-170,20,19,20,21,23,25,26,27,26,25,23,21
40,-170,1,1,2,3,5,7,10,11,9,7,4,2
50,-170,0,0,1,2,4,6,8,10,9,6,3,1
60,-170,-11,-10,-9,-5,1,7,10,10,8,2,-4,-9
70,-170,-19,-21,-21,-14,-3,3,7,7,3,-3,-11,-18
80,-170,-23,-24,-23,-17,-6,1,3,3,0,-7,-14,-21
90,-170,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-160,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-160,-10,-20,-34,-37,-37,-38,-40,-40,-38,-28,-18,-10
-70,-160,-1,-5,-12,-18,-20,-21,-23,-23,-21,-16,-7,-1
-60,-160,-1,-5,-11,-17,-19,-20,-22,-22,-20,-15,-8,-2
-50,-160,17,17,16,14,12,10,10,10,11,13,14,16
-40,-160,21,21,20,18,16,14,13,13,15,16,17,19
-30,-160,26,27,27,26,24,23,22,22,23,23,25,25
-20,-160,26,27,27,26,25,23,23,23,23,24,25,25
-10,-160,27,27,27,27,26,25,25,25,25,25,26,27
0,-160,27,27,28,28,28,27,27,27,27,27,28,27
10,-160,24,24,24,25,25,26,26,27,27,26,25,24
20,-160,23,23,23,24,25,26,26,27,27,26,25,23
30,-160,22,22,23,24,25,26,26,27,26,26,24,23
40,-160,-1,-1,-1,1,4,7,10,11,9,5,2,0
50,-160,-2,-2,-2,1,4,8,10,11,9,5,1,-2
60,-160,-12,-11,-9,-3,5,10,13,12,8,0,-6,-11
70,-160,-22,-24,-23,-15,-4,4,8,7,2,-5,-14,-20
80,-160,-26,-28,-26,-19,-7,2,5,3,-2,-11,-19,-25
90,-160,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-150,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-150,-13,-22,-35,-38,-38,-39,-40,-40,-39,-29,-20,-13
-70,-150,-2,-6,-11,-16,-18,-19,-21,-22,-19,-15,-8,-2
-60,-150,-2,-6,-11,-16,-18,-19,-21,-22,-19,-15,-8,-2
-50,-150,23,23,23,21,19,18,17,17,17,18,19,21
-40,-150,24,24,24,22,21,19,19,18,18,19,21,22
-30,-150,24,24,24,22,21,19,19,18,18,19,21,22
-20,-150,27,27,28,27,26,25,25,25,25,26,27,27
-10,-150,28,28,28,28,28,27,27,26,27,27,28,28
0,-150,27,27,27,27,27,27,27,27,27,27,27,27
10,-150,22,22,23,23,24,25,25,26,25,25,24,23
20,-150,22,22,22,23,24,25,25,25,25,25,24,23
30,-150,22,22,22,22,22,23,23,24,24,24,23,22
40,-150,3,3,3,4,6,9,11,11,10,7,5,3
50,-150,-1,0,0,3,7,10,12,13,10,5,2,-1
60,-150,-6,-4,-2,3,8,12,14,13,10,4,-2,-5
70,-150,-26,-27,-25,-16,-4,4,7,6,1,-8,-18,-24
80,-150,-30,-30,-28,-19,-7,2,6,4,-3,-13,-22,-28
90,-150,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-140,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-140,-13,-22,-35,-38,-38,-39,-40,-40,-39,-29,-20,-13
-70,-140,-3,-8,-13,-17,-20,-21,-23,-24,-21,-16,-9,-4
-60,-140,-2,-6,-11,-16,-18,-19,-21,-22,-19,-15,-8,-2
-50,-140,24,24,24,22,21,19,19,18,18,19,21,22
-40,-140,24,24,24,22,21,19,19,18,18,19,21,22
-30,-140,24,24,24,22,21,19,19,18,18,19,21,22
-20,-140,27,28,28,27,27,26,25,25,25,26,26,27
-10,-140,27,27,27,27,27,26,25,25,26,26,26,27
0,-140,27,27,27,27,27,26,26,26,26,26,26,27
10,-140,22,22,23,23,24,24,25,25,25,24,24,23
20,-140,22,22,22,23,24,25,25,25,25,25,24,23
30,-140,13,14,14,14,14,14,15,15,16,15,14,13
40,-140,13,13,13,12,12,12,13,13,14,14,13,12
50,-140,5,5,5,6,9,11,13,13,13,10,7,5
60,-140,-4,-3,-1,3,7,11,13,12,9,5,-1,-3
70,-140,-25,-27,-25,-16,-5,3,6,5,1,-8,-17,-23
80,-140,-31,-32,-29,-21,-8,2,6,3,-4,-14,-24,-29
90,-140,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-130,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-130,-20,-29,-38,-41,-42,-42,-44,-45,-44,-37,-28,-20
-70,-130,-10,-19,-31,-35,-36,-36,-38,-38,-37,-27,-18,-11
-60,-130,-3,-8,-11,-15,-18,-19,-22,-22,-20,-15,-9,-3
-50,-130,14,14,13,12,11,10,8,8,8,6,9,13
-40,-130,23,24,23,22,20,19,18,18,18,19,20,22
-30,-130,25,25,25,24,22,21,20,20,20,21,22,24
-20,-130,25,25,25,24,22,21,20,20,20,21,22,24
-10,-130,27,27,27,27,27,26,25,25,26,26,26,27
0,-130,27,27,27,27,27,26,26,26,26,26,27,27
10,-130,23,23,23,23,23,23,24,24,24,24,24,23
20,-130,13,14,14,15,15,17,18,19,19,18,16,14
30,-130,11,12,12,13,14,15,16,16,16,16,14,11
40,-130,9,9,10,10,12,13,14,14,14,12,10,9
50,-130,5,5,6,7,9,11,13,13,12,10,7,5
60,-130,-17,-15,-9,-2,6,11,13,11,7,1,-10,-16
70,-130,-27,-27,-25,-16,-4,5,10,9,3,-6,-18,-24
80,-130,-33,-33,-31,-22,-8,2,6,3,-5,-16,-25,-30
90,-130,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-120,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-120,-20,-28,-37,-40,-41,-42,-43,-44,-43,-37,-27,-19
-70,-120,-9,-15,-23,-27,-29,-31,-33,-33,-30,-23,-15,-9
-60,-120,1,0,-1,-4,-6,-8,-10,-10,-8,-6,-2,1
-50,-120,13,13,13,12,11,9,7,7,7,6,9,12
-40,-120,24,24,24,22,21,20,19,18,19,19,21,22
-30,-120,24,24,24,23,21,20,19,19,19,20,21,22
-20,-120,23,24,23,22,20,20,18,18,18,19,20,22
-10,-120,26,26,26,25,25,24,23,23,24,24,25,26
0,-120,26,26,26,26,26,26,26,26,26,26,26,26
10,-120,21,22,23,24,26,29,30,30,29,28,25,22
20,-120,19,19,20,22,24,26,29,30,29,26,22,19
30,-120,14,14,14,15,16,17,19,19,19,18,16,14
40,-120,1,4,6,10,14,19,24,22,18,12,5,1
50,-120,-3,-1,4,8,13,17,20,19,14,7,1,-3
60,-120,-21,-16,-9,2,10,15,17,15,9,1,-13,-20
70,-120,-27,-27,-25,-17,-6,4,8,7,2,-7,-17,-24
80,-120,-29,-30,-28,-20,-6,4,8,5,-3,-14,-23,-27
90,-120,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-110,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-110,-20,-28,-36,-40,-41,-41,-43,-44,-43,-37,-27,-19
-70,-110,-11,-17,-24,-27,-29,-31,-34,-34,-31,-25,-17,-11
-60,-110,2,1,-1,-4,-5,-7,-9,-10,-8,-6,-2,1
-50,-110,15,15,15,13,11,10,9,9,10,11,12,13
-40,-110,23,23,23,22,20,18,17,17,18,18,20,21
-30,-110,23,24,23,22,20,19,18,18,19,19,20,22
-20,-110,24,24,24,23,21,20,19,19,19,19,21,22
-10,-110,24,24,24,23,21,20,19,19,19,20,21,22
0,-110,26,26,27,27,28,29,29,29,28,29,28,27
10,-110,25,25,25,25,27,28,29,29,29,29,28,26
20,-110,21,21,22,24,26,29,30,30,29,28,25,22
30,-110,13,15,17,21,26,30,30,29,28,23,18,13
40,-110,-5,-2,4,10,15,21,25,23,18,10,3,-4
50,-110,-9,-7,-1,6,12,16,19,18,13,6,-2,-8
60,-110,-24,-21,-14,-3,7,14,17,15,8,1,-11,-21
70,-110,-32,-32,-29,-21,-9,2,9,7,0,-10,-22,-28
80,-110,-30,-30,-29,-20,-6,4,8,5,-3,-14,-23,-27
90,-110,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-100,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-100,-20,-28,-36,-40,-40,-41,-43,-44,-42,-37,-27,-19
-70,-100,0,-2,-4,-7,-9,-11,-14,-14,-11,-9,-4,-1
-60,-100,7,7,5,4,3,0,-1,0,1,2,5,6
-50,-100,11,11,10,8,6,4,3,4,5,7,8,10
-40,-100,23,23,23,21,19,18,17,17,18,18,20,21
-30,-100,23,23,23,21,19,18,17,17,17,18,20,21
-20,-100,23,24,23,22,21,19,18,18,18,19,20,22
-10,-100,24,25,24,23,21,20,19,19,19,20,21,22
0,-100,26,27,28,28,29,28,28,28,27,28,28,27
10,-100,26,26,27,27,28,28,28,28,28,28,27,27
20,-100,11,12,14,16,16,16,15,15,15,14,12,11
30,-100,9,12,16,21,24,28,29,29,25,21,15,10
40,-100,-2,0,5,11,17,23,26,25,20,12,4,-1
50,-100,-17,-14,-6,4,11,16,19,18,12,5,-5,-14
60,-100,-27,-26,-20,-11,-2,8,13,12,5,-4,-16,-24
70,-100,-27,-27,-23,-15,-5,4,9,8,3,-6,-17,-24
80,-100,-30,-30,-29,-20,-6,4,8,5,-3,-14,-23,-27
90,-100,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-90,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-90,-20,-29,-37,-41,-41,-42,-44,-46,-44,-38,-29,-20
-70,-90,1,0,-2,-4,-6,-10,-12,-12,-9,-6,-3,0
-60,-90,10,10,9,7,6,4,3,4,5,6,8,9
-50,-90,11,11,10,8,6,4,3,4,6,7,8,10
-40,-90,18,18,17,16,14,13,12,12,12,13,15,16
-30,-90,19,18,18,16,15,13,12,12,12,13,15,17
-20,-90,23,23,23,21,19,18,17,17,17,18,19,21
-10,-90,26,27,27,26,24,22,21,21,21,21,22,24
0,-90,25,26,26,26,25,24,23,23,23,23,23,24
10,-90,27,28,28,29,28,28,28,28,27,27,27,27
20,-90,24,24,26,28,29,29,28,28,28,27,25,24
30,-90,12,14,17,21,25,28,28,28,26,22,17,13
40,-90,-3,-1,6,12,18,23,25,23,19,13,6,0
50,-90,-19,-16,-9,1,8,14,17,16,10,3,-5,-14
60,-90,-28,-28,-23,-13,-3,5,11,11,5,-3,-15,-24
70,-90,-33,-34,-29,-20,-8,3,9,7,0,-9,-21,-29
80,-90,-36,-37,-36,-27,-10,2,6,3,-6,-21,-30,-34
90,-90,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-80,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-80,-16,-25,-33,-37,-37,-38,-40,-41,-39,-32,-23,-16
-70,-80,1,1,-2,-4,-6,-10,-12,-12,-9,-6,-2,0
-60,-80,9,9,8,6,5,3,3,3,4,6,7,8
-50,-80,11,11,10,8,6,4,3,4,6,7,8,10
-40,-80,18,18,15,12,10,8,8,8,10,12,14,17
-30,-80,19,19,18,16,15,13,12,12,13,14,15,17
-20,-80,23,24,24,22,20,18,17,17,18,19,20,22
-10,-80,22,23,23,22,20,19,19,18,18,19,20,21
0,-80,22,22,22,23,22,21,21,21,21,21,21,21
10,-80,27,27,28,28,27,27,27,27,27,26,26,26
20,-80,23,23,24,25,27,27,27,27,27,27,25,24
30,-80,14,15,17,20,24,26,27,27,26,22,18,15
40,-80,-2,0,4,10,16,20,22,21,17,11,6,1
50,-80,-19,-17,-10,-2,7,12,14,13,8,2,-5,-14
60,-80,-24,-25,-20,-11,-2,5,10,10,6,0,-7,-17
70,-80,-30,-31,-27,-18,-7,2,8,6,0,-8,-18,-26
80,-80,-35,-36,-35,-26,-10,2,6,3,-6,-20,-28,-33
90,-80,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-70,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-70,-14,-22,-31,-35,-35,-36,-38,-39,-37,-30,-21,-14
-70,-70,1,1,-2,-4,-6,-10,-12,-12,-9,-6,-2,0
-60,-70,8,8,7,6,4,3,2,3,4,5,6,7
-50,-70,16,15,13,9,6,3,2,4,7,10,13,14
-40,-70,16,16,13,9,6,3,3,4,6,9,12,14
-30,-70,18,18,17,15,13,12,11,11,12,13,15,17
-20,-70,20,20,20,18,16,15,14,14,15,16,18,19
-10,-70,26,26,26,26,26,25,25,26,27,28,27,27
0,-70,25,25,25,25,24,24,24,25,25,25,25,25
10,-70,25,25,26,26,25,25,25,25,26,26,25,25
20,-70,24,24,25,26,26,28,28,28,28,27,26,25
30,-70,18,18,18,19,22,25,27,27,26,24,21,19
40,-70,0,0,3,8,13,18,22,21,18,13,8,3
50,-70,-17,-15,-9,-1,7,13,16,15,10,4,-3,-12
60,-70,-23,-24,-18,-10,-1,6,10,10,5,-1,-8,-17
70,-70,-27,-29,-27,-18,-7,1,5,4,0,-7,-16,-23
80,-70,-32,-33,-33,-24,-9,2,6,4,-5,-18,-26,-30
90,-70,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-60,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-60,-14,-22,-31,-35,-35,-36,-38,-39,-37,-30,-21,-14
-70,-60,1,1,-2,-4,-6,-10,-12,-12,-9,-6,-2,0
-60,-60,1,1,0,-2,-4,-6,-7,-7,-5,-3,-1,0
-50,-60,13,12,11,8,5,3,3,4,6,8,10,12
-40,-60,23,22,19,15,12,9,8,10,12,15,18,21
-30,-60,27,26,24,20,17,14,14,15,17,21,23,25
-20,-60,28,28,28,26,23,22,23,25,26,28,28,29
-10,-60,25,25,25,26,25,25,25,26,26,26,26,25
0,-60,28,28,29,28,27,27,27,28,29,29,29,28
10,-60,26,26,26,27,27,27,27,27,28,27,27,26
20,-60,25,25,26,26,27,28,28,28,28,27,27,26
30,-60,18,18,18,19,22,25,27,27,26,24,22,19
40,-60,-3,-3,0,4,8,12,16,18,15,10,5,0
50,-60,-9,-9,-5,0,5,10,14,15,11,6,1,-5
60,-60,-19,-20,-15,-7,0,5,9,9,5,0,-6,-13
70,-60,-13,-16,-16,-10,-2,3,6,5,2,-2,-6,-9
80,-60,-27,-28,-28,-21,-8,1,4,2,-4,-14,-21,-25
90,-60,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-50,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-50,-14,-22,-31,-35,-35,-36,-38,-39,-37,-30,-21,-14
-70,-50,-1,-2,-6,-10,-12,-15,-15,-13,-11,-7,-4,-1
-60,-50,1,1,0,-2,-5,-8,-9,-8,-6,-3,-1,0
-50,-50,11,11,9,6,4,2,1,2,4,6,8,10
-40,-50,21,20,18,15,12,9,8,9,11,13,16,19
-30,-50,25,25,24,21,17,15,14,16,17,20,22,24
-20,-50,25,25,25,23,20,19,20,21,22,24,24,25
-10,-50,27,27,27,28,29,29,29,30,30,29,28,28
0,-50,27,26,26,27,27,27,27,28,28,28,28,28
10,-50,25,26,26,26,26,26,26,26,27,27,27,26
20,-50,26,26,26,27,27,28,28,28,28,28,27,26
30,-50,18,18,18,19,22,24,27,27,26,24,21,19
40,-50,-3,-4,-2,1,4,8,12,14,12,8,4,0
50,-50,-4,-4,-2,2,6,10,15,16,12,7,3,-1
60,-50,-6,-5,-4,-1,3,5,6,6,4,1,-2,-4
70,-50,-15,-16,-16,-8,1,6,9,7,3,-3,-8,-12
80,-50,-28,-29,-29,-22,-9,0,4,2,-5,-15,-22,-27
90,-50,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-40,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-40,-14,-23,-32,-36,-37,-38,-38,-40,-38,-31,-22,-14
-70,-40,-2,-5,-10,-14,-16,-18,-19,-18,-17,-12,-6,-2
-60,-40,1,1,0,-2,-5,-8,-10,-8,-6,-3,-1,0
-50,-40,2,2,1,-2,-5,-7,-9,-8,-6,-3,0,1
-40,-40,23,22,21,18,14,12,11,12,13,16,19,21
-30,-40,27,28,27,25,23,22,22,22,23,24,25,26
-20,-40,27,27,27,26,24,23,22,23,23,24,25,26
-10,-40,29,29,28,28,27,26,25,26,28,29,29,29
0,-40,28,28,28,28,28,28,27,28,28,28,28,29
10,-40,28,27,27,27,28,28,28,28,28,29,29,28
20,-40,22,22,22,22,23,24,25,26,27,26,25,23
30,-40,15,14,15,15,17,19,21,22,21,19,17,16
40,-40,14,13,14,15,16,18,21,22,21,18,16,15
50,-40,-3,-4,-2,2,6,10,15,16,12,8,4,-1
60,-40,-5,-5,-3,0,3,6,7,8,5,2,-1,-3
70,-40,-17,-18,-17,-12,-4,0,3,2,-1,-9,-14,-16
80,-40,-27,-28,-28,-20,-8,0,3,2,-6,-15,-22,-25
90,-40,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-30,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-30,-14,-23,-32,-36,-37,-37,-38,-40,-37,-31,-22,-14
-70,-30,-3,-6,-11,-15,-17,-20,-22,-21,-21,-15,-8,-4
-60,-30,1,1,0,-2,-5,-8,-10,-9,-6,-3,-1,0
-50,-30,2,3,2,-1,-4,-7,-9,-7,-5,-2,0,1
-40,-30,15,16,15,14,12,11,10,10,10,11,13,15
-30,-30,27,28,27,26,24,22,22,22,23,24,25,26
-20,-30,27,27,27,26,24,23,23,23,23,24,25,26
-10,-30,28,28,28,28,27,26,25,25,26,27,28,28
0,-30,27,27,27,27,27,27,26,26,26,27,27,27
10,-30,22,21,22,22,23,24,25,26,27,26,25,23
20,-30,21,21,21,22,22,24,25,26,27,26,24,22
30,-30,15,14,15,15,17,19,21,22,21,19,17,16
40,-30,15,14,15,15,17,19,21,22,21,19,17,16
50,-30,13,13,13,14,16,18,20,21,20,18,15,14
60,-30,0,1,1,3,6,9,11,10,8,5,2,1
70,-30,-9,-10,-10,-6,0,3,6,5,2,-2,-5,-8
80,-30,-26,-27,-27,-20,-8,0,4,2,-6,-15,-22,-24
90,-30,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-20,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-20,-13,-22,-30,-34,-35,-36,-37,-38,-36,-29,-20,-13
-70,-20,-3,-7,-11,-15,-18,-21,-22,-22,-21,-16,-9,-4
-60,-20,-3,-6,-10,-14,-17,-19,-21,-20,-19,-14,-8,-3
-50,-20,13,13,13,11,10,8,7,7,8,9,11,12
-40,-20,15,16,15,14,12,12,11,10,10,12,13,15
-30,-20,16,16,16,15,13,12,11,11,11,12,13,15
-20,-20,26,26,27,27,26,25,25,24,24,24,24,25
-10,-20,26,27,27,27,27,26,25,24,24,24,24,25
0,-20,26,27,27,27,27,26,25,24,24,24,24,25
10,-20,24,24,25,25,26,28,27,27,27,28,27,24
20,-20,19,20,20,20,21,22,23,24,25,24,22,20
30,-20,18,18,18,19,20,21,23,24,24,22,20,19
40,-20,14,14,14,15,16,19,21,22,21,19,17,15
50,-20,8,7,8,9,11,14,15,15,14,12,9,8
60,-20,1,2,2,4,6,9,10,10,8,5,3,2
70,-20,-11,-12,-11,-8,-1,3,6,6,2,-3,-8,-10
80,-20,-22,-24,-23,-17,-7,0,3,1,-4,-13,-19,-21
90,-20,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,-10,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,-10,-13,-22,-30,-34,-35,-36,-37,-38,-36,-29,-20,-13
-70,-10,-3,-6,-11,-15,-17,-20,-22,-22,-21,-16,-8,-4
-60,-10,-3,-6,-10,-15,-17,-20,-21,-21,-20,-15,-8,-3
-50,-10,13,14,13,11,9,8,7,7,8,9,11,12
-40,-10,15,15,14,13,12,11,10,10,10,11,12,14
-30,-10,18,18,18,17,16,15,14,13,14,15,16,17
-20,-10,22,23,23,23,22,20,19,19,19,19,20,21
-10,-10,26,26,27,27,26,25,25,24,24,24,24,25
0,-10,26,27,27,27,27,26,25,25,25,26,26,26
10,-10,25,28,31,32,31,28,26,26,26,27,27,25
20,-10,24,26,29,31,33,33,31,30,30,31,28,25
30,-10,14,15,17,18,20,21,23,24,22,21,18,15
40,-10,10,11,13,14,16,19,21,21,20,17,13,11
50,-10,8,7,8,9,11,14,15,15,14,12,9,8
60,-10,4,4,4,5,7,9,11,11,10,8,6,5
70,-10,-5,-6,-6,-4,0,3,6,6,4,0,-3,-5
80,-10,-22,-24,-23,-17,-7,0,3,1,-4,-13,-19,-21
90,-10,-32,-32,-32,-24,-10,0,3,1,-7,-18,-26,-30
-90,0,-26,-38,-50,-54,-55,-55,-57,-55,-55,-48,-36,-26
-80,0,-11,-19,-27,-31,-32,-33,-34,-35,-33,-27,-18,-11
-70,0,-12,-19,-27,-30,-31,-32,-34,-34,-33,-27,-18,-12
-60,0,-2,-5,-10,-14,-17,-19,-21,-21,-20,-15,-8,-3
