Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
National Defence,FY 2005-06,facilities,1,Natural gas,5807777.17,288870.88
National Defence,FY 2005-06,facilities,1,Liquified petroleum gas,48244.37,2943.07
National Defence,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1305193.88,95389.11
National Defence,FY 2005-06,facilities,1,Aviation fuels,386973.38,26322.46
National Defence,FY 2005-06,facilities,2,Electricity,3533821.46,320839.25
National Defence,FY 2005-06,facilities,2,District energy,54566,4390.26
National Defence,FY 2005-06,fleets,1,Liquified petroleum gas,2969.24,179.72
National Defence,FY 2005-06,fleets,1,Gasoline,373573.34,25168.32
National Defence,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",247997.75,17739.61
National Defence,FY 2005-06,fleets,1,Fuels with renewable content,11079.66,696.5
National Defence,FY 2010-11,facilities,1,Natural gas,6117251.17,304263.69
National Defence,FY 2010-11,facilities,1,Liquified petroleum gas,41090.94,2506.69
National Defence,FY 2010-11,facilities,1,Gasoline,0.52,0.03
National Defence,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1286326.15,93698.86
National Defence,FY 2010-11,facilities,1,Aviation fuels,296126.88,20142.96
National Defence,FY 2010-11,facilities,2,Electricity,3669229.17,293815.5
National Defence,FY 2010-11,facilities,2,District energy,47393.22,3915.47
National Defence,FY 2010-11,fleets,1,Natural gas,3.23E-03,1.79E-04
National Defence,FY 2010-11,fleets,1,Liquified petroleum gas,18.9,1.14
National Defence,FY 2010-11,fleets,1,Gasoline,208471.34,13360.2
National Defence,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",295206.16,21466.08
National Defence,FY 2010-11,fleets,1,Fuels with renewable content,199445.53,12532.55
National Defence,FY 2011-12,facilities,1,Natural gas,5642097.8,280630.21
National Defence,FY 2011-12,facilities,1,Liquified petroleum gas,48201.97,2940.49
National Defence,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1313792.08,95654.86
National Defence,FY 2011-12,facilities,1,Aviation fuels,379031.6,25782.25
National Defence,FY 2011-12,facilities,2,Electricity,3535686.82,255545.96
National Defence,FY 2011-12,facilities,2,District energy,10934,895.38
National Defence,FY 2011-12,fleets,1,Natural gas,6.73E-03,3.72E-04
National Defence,FY 2011-12,fleets,1,Liquified petroleum gas,2613.53,158.19
National Defence,FY 2011-12,fleets,1,Gasoline,206585.01,13239.46
National Defence,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",288245.88,20889.27
National Defence,FY 2011-12,fleets,1,Aviation fuels,1047.68,73.02
National Defence,FY 2011-12,fleets,1,Fuels with renewable content,98551.97,6184.59
National Defence,FY 2012-13,facilities,1,Natural gas,5624426.07,279751.24
National Defence,FY 2012-13,facilities,1,Liquified petroleum gas,36539.64,2229.04
National Defence,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1585920.28,114043.15
National Defence,FY 2012-13,facilities,1,Aviation fuels,80274.83,5460.4
National Defence,FY 2012-13,facilities,2,Electricity,3480170.88,252697.17
National Defence,FY 2012-13,facilities,2,District energy,1508,111.64
National Defence,FY 2012-13,fleets,1,Natural gas,0.01,8.06E-04
National Defence,FY 2012-13,fleets,1,Liquified petroleum gas,2311.96,139.94
National Defence,FY 2012-13,fleets,1,Gasoline,191689.89,12284.8
National Defence,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",264188.48,19177.8
National Defence,FY 2012-13,fleets,1,Fuels with renewable content,84503.02,5294.9
National Defence,FY 2013-14,facilities,1,Natural gas,6292621.74,312986.38
National Defence,FY 2013-14,facilities,1,Liquified petroleum gas,46169.67,2816.51
National Defence,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1261592.4,90523.85
National Defence,FY 2013-14,facilities,1,Aviation fuels,374019.37,25441.31
National Defence,FY 2013-14,facilities,2,Electricity,3347267.77,244934.32
National Defence,FY 2013-14,facilities,2,District energy,1311,87.4
National Defence,FY 2013-14,fleets,1,Liquified petroleum gas,1748.79,105.85
National Defence,FY 2013-14,fleets,1,Gasoline,153663.23,9847.89
National Defence,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",255331.13,18629.1
National Defence,FY 2013-14,fleets,1,Fuels with renewable content,79566.28,4983.38
National Defence,FY 2014-15,facilities,1,Natural gas,6453502.2,320988.36
National Defence,FY 2014-15,facilities,1,Liquified petroleum gas,34929.73,2130.83
National Defence,FY 2014-15,facilities,1,Gasoline,7,0.46
National Defence,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1160705.56,83155.36
National Defence,FY 2014-15,facilities,1,Aviation fuels,334366.61,22744.08
National Defence,FY 2014-15,facilities,2,Electricity,3299585.68,218559.44
National Defence,FY 2014-15,facilities,2,District energy,1456.36,95.64
National Defence,FY 2014-15,fleets,1,Liquified petroleum gas,1185.59,71.76
National Defence,FY 2014-15,fleets,1,Gasoline,149598.64,9587.25
National Defence,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",251687.58,18409.07
National Defence,FY 2014-15,fleets,1,Fuels with renewable content,84662.48,5304.14
National Defence,FY 2015-16,facilities,1,Natural gas,5995492.64,298207.59
National Defence,FY 2015-16,facilities,1,Liquified petroleum gas,52605.99,3209.15
National Defence,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",762874.1,54329.04
National Defence,FY 2015-16,facilities,1,Aviation fuels,302489.56,20575.76
National Defence,FY 2015-16,facilities,2,Electricity,3314284.64,213049.58
National Defence,FY 2015-16,facilities,2,District energy,35307,2930.3
National Defence,FY 2015-16,fleets,1,Liquified petroleum gas,1243.63,75.27
National Defence,FY 2015-16,fleets,1,Gasoline,145150.14,9302.2
National Defence,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",240853.11,17562.68
National Defence,FY 2015-16,fleets,1,Fuels with renewable content,77406.83,4860.4
National Defence,FY 2016-17,facilities,1,Natural gas,6160052.77,306392.58
National Defence,FY 2016-17,facilities,1,Liquified petroleum gas,57717.61,3520.97
National Defence,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",779304.98,55495.71
National Defence,FY 2016-17,facilities,1,Aviation fuels,295304.37,20087.01
National Defence,FY 2016-17,facilities,2,Electricity,3356466.29,214539.45
National Defence,FY 2016-17,facilities,2,District energy,40048,3323.78
National Defence,FY 2016-17,fleets,1,Liquified petroleum gas,804.83,48.71
National Defence,FY 2016-17,fleets,1,Gasoline,144622.2,9268.38
National Defence,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",239558.62,17494.89
National Defence,FY 2016-17,fleets,1,Fuels with renewable content,70769.15,4447.57
Public Services and Procurement Canada,FY 2005-06,facilities,1,Natural gas,1060379.95,52741.84
Public Services and Procurement Canada,FY 2005-06,facilities,1,Liquified petroleum gas,6996.88,426.83
Public Services and Procurement Canada,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",112994.65,7965.02
Public Services and Procurement Canada,FY 2005-06,facilities,2,Electricity,3292808.25,128475.09
Public Services and Procurement Canada,FY 2005-06,facilities,2,District energy,1119038.2,79495.39
Public Services and Procurement Canada,FY 2005-06,fleets,1,Natural gas,0.04,2.27E-03
Public Services and Procurement Canada,FY 2005-06,fleets,1,Liquified petroleum gas,64.03,3.87
Public Services and Procurement Canada,FY 2005-06,fleets,1,Gasoline,20349.69,1371.12
Public Services and Procurement Canada,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1543.32,115.81
Public Services and Procurement Canada,FY 2005-06,fleets,1,Fuels with renewable content,408.03,25.65
Public Services and Procurement Canada,FY 2010-11,facilities,1,Natural gas,1004604.67,49967.66
Public Services and Procurement Canada,FY 2010-11,facilities,1,Liquified petroleum gas,4662.46,284.42
Public Services and Procurement Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",79986.64,5638.28
Public Services and Procurement Canada,FY 2010-11,facilities,2,Electricity,3180126.43,91503.99
Public Services and Procurement Canada,FY 2010-11,facilities,2,District energy,1015560.79,70973.32
Public Services and Procurement Canada,FY 2010-11,fleets,1,Natural gas,1.07E-03,5.90E-05
Public Services and Procurement Canada,FY 2010-11,fleets,1,Gasoline,12746.37,816.98
Public Services and Procurement Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4434.11,318.7
Public Services and Procurement Canada,FY 2010-11,fleets,1,Fuels with renewable content,1699.38,106.64
Public Services and Procurement Canada,FY 2011-12,facilities,1,Natural gas,909361.56,45230.39
Public Services and Procurement Canada,FY 2011-12,facilities,1,Liquified petroleum gas,8563.68,522.41
Public Services and Procurement Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",71301.67,5026.03
Public Services and Procurement Canada,FY 2011-12,facilities,2,Electricity,3093277.62,70398.5
Public Services and Procurement Canada,FY 2011-12,facilities,2,District energy,937061.42,65388.52
Public Services and Procurement Canada,FY 2011-12,fleets,1,Gasoline,12316.48,789.48
Public Services and Procurement Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3485.11,251.01
Public Services and Procurement Canada,FY 2011-12,fleets,1,Fuels with renewable content,2006.63,125.67
Public Services and Procurement Canada,FY 2012-13,facilities,1,Natural gas,1006242.32,50049.11
Public Services and Procurement Canada,FY 2012-13,facilities,1,Liquified petroleum gas,9683.39,590.72
Public Services and Procurement Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",69987.34,4947.88
Public Services and Procurement Canada,FY 2012-13,facilities,2,Electricity,3131475.1,76614.29
Public Services and Procurement Canada,FY 2012-13,facilities,2,District energy,928906.14,65216.77
Public Services and Procurement Canada,FY 2012-13,fleets,1,Gasoline,10387.3,665.1
Public Services and Procurement Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3791.06,273.61
Public Services and Procurement Canada,FY 2012-13,fleets,1,Fuels with renewable content,1677.17,77.06
Public Services and Procurement Canada,FY 2013-14,facilities,1,Natural gas,1215554.74,60460.02
Public Services and Procurement Canada,FY 2013-14,facilities,1,Liquified petroleum gas,10222.6,623.61
Public Services and Procurement Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",70938.48,5000.43
Public Services and Procurement Canada,FY 2013-14,facilities,2,Electricity,3176501.93,58115.5
Public Services and Procurement Canada,FY 2013-14,facilities,2,District energy,874037.12,62507.68
Public Services and Procurement Canada,FY 2013-14,fleets,1,Gasoline,9287.91,594.92
Public Services and Procurement Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4797.33,350.52
Public Services and Procurement Canada,FY 2013-14,fleets,1,Fuels with renewable content,2185.08,136.91
Public Services and Procurement Canada,FY 2014-15,facilities,1,Natural gas,1258692.58,62605.64
Public Services and Procurement Canada,FY 2014-15,facilities,1,Liquified petroleum gas,9793.93,597.46
Public Services and Procurement Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",71033.39,5007.12
Public Services and Procurement Canada,FY 2014-15,facilities,2,Electricity,3072688.88,44241.83
Public Services and Procurement Canada,FY 2014-15,facilities,2,District energy,855759.92,61626.49
Public Services and Procurement Canada,FY 2014-15,fleets,1,Liquified petroleum gas,0.02,1.53E-03
Public Services and Procurement Canada,FY 2014-15,fleets,1,Gasoline,11668.75,747.81
Public Services and Procurement Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1859.73,134.33
Public Services and Procurement Canada,FY 2014-15,fleets,1,Fuels with renewable content,1424.43,23.26
Public Services and Procurement Canada,FY 2015-16,facilities,1,Natural gas,1031403.97,51300.62
Public Services and Procurement Canada,FY 2015-16,facilities,1,Liquified petroleum gas,9704.99,592.04
Public Services and Procurement Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",62915.77,4434.91
Public Services and Procurement Canada,FY 2015-16,facilities,2,Electricity,2896507,69370.09
Public Services and Procurement Canada,FY 2015-16,facilities,2,District energy,798450.0479,55838.9997
Public Services and Procurement Canada,FY 2015-16,fleets,1,Gasoline,10932.53,700.61
Public Services and Procurement Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3359.94,239.49
Public Services and Procurement Canada,FY 2016-17,facilities,1,Natural gas,1072775.29,53358.37
Public Services and Procurement Canada,FY 2016-17,facilities,1,Liquified petroleum gas,9416.59,574.44
Public Services and Procurement Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",63064.96,4445.42
Public Services and Procurement Canada,FY 2016-17,facilities,2,Electricity,2899654.44,41426.49
Public Services and Procurement Canada,FY 2016-17,facilities,2,District energy,815928.28,56953.29
Public Services and Procurement Canada,FY 2016-17,fleets,1,Gasoline,10243.03,656.43
Public Services and Procurement Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3099.65,220.94
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,Natural gas,452751.99,22519.26
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,Liquified petroleum gas,1769.3,107.93
Agriculture and Agri-Food Canada,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",59955.49,4231.27
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,Electricity,524275.28,52417.81
Agriculture and Agri-Food Canada,FY 2005-06,facilities,2,District energy,154871,11228.5
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,Liquified petroleum gas,68.28,4.13
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,Gasoline,68145.91,4591.68
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41332.36,3168.36
Agriculture and Agri-Food Canada,FY 2005-06,fleets,1,Fuels with renewable content,14431.98,611.8
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Natural gas,487357.72,24240.5
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,Liquified petroleum gas,1041.67,63.54
Agriculture and Agri-Food Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43348.97,3055.65
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,Electricity,469326.79,46228.79
Agriculture and Agri-Food Canada,FY 2010-11,facilities,2,District energy,121579.12,9297.93
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Natural gas,0.02,1.61E-03
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Gasoline,40747.66,2611.81
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42780.6,3278.89
Agriculture and Agri-Food Canada,FY 2010-11,fleets,1,Fuels with renewable content,17497.65,884.14
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Natural gas,451914.49,22477.6
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,Liquified petroleum gas,866.96,52.88
Agriculture and Agri-Food Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42760.47,3014.17
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,Electricity,459553.88,40389.66
Agriculture and Agri-Food Canada,FY 2011-12,facilities,2,District energy,113769,8744.63
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Natural gas,6.19E-03,3.42E-04
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Liquified petroleum gas,23.23,1.4
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Gasoline,49424.66,3167.89
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43460.4,3294.6
Agriculture and Agri-Food Canada,FY 2011-12,fleets,1,Fuels with renewable content,21330.05,1223.64
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Natural gas,472787.12,23515.78
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2605.58,158.95
Agriculture and Agri-Food Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",38482.89,2712.91
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,Electricity,463884.78,42524.77
Agriculture and Agri-Food Canada,FY 2012-13,facilities,2,District energy,85865,7000.94
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Natural gas,0.01,5.94E-04
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Liquified petroleum gas,60.66,3.67
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Gasoline,53793.18,3448.62
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36279.8,2719.79
Agriculture and Agri-Food Canada,FY 2012-13,fleets,1,Fuels with renewable content,18272.93,1049.2
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Natural gas,540121.89,26864.92
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2785.49,169.92
Agriculture and Agri-Food Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",42152.14,2971.56
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,Electricity,455846.6,37340.02
Agriculture and Agri-Food Canada,FY 2013-14,facilities,2,District energy,81635.4,6734.88
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Liquified petroleum gas,58.84,3.56
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Gasoline,43037.78,2758.34
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",43602.27,3307.87
Agriculture and Agri-Food Canada,FY 2013-14,fleets,1,Fuels with renewable content,16170.98,957.29
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Natural gas,518947.28,25811.72
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,Liquified petroleum gas,1396.62,85.19
Agriculture and Agri-Food Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",45312.71,3200.55
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,Electricity,427400.64,35417.75
Agriculture and Agri-Food Canada,FY 2014-15,facilities,2,District energy,50390,4182.11
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Natural gas,1.14,0.06
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Liquified petroleum gas,11.61,0.7
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Gasoline,31558.33,2022.61
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",36849.08,2787.89
Agriculture and Agri-Food Canada,FY 2014-15,fleets,1,Fuels with renewable content,18779.75,1116.79
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,Natural gas,458735.1,22816.85
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,Liquified petroleum gas,846.54,51.64
Agriculture and Agri-Food Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41076.52,2898.69
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,Electricity,442918.71,34342.37
Agriculture and Agri-Food Canada,FY 2015-16,facilities,2,District energy,96690,8024.78
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Natural gas,1.08,0.05
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Liquified petroleum gas,1.5,0.09
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Gasoline,39403.35,2525.88
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",32391.89,2431.78
Agriculture and Agri-Food Canada,FY 2015-16,fleets,1,Fuels with renewable content,12376.28,722.61
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,Natural gas,509730.9,25353.31
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,Liquified petroleum gas,944.69,57.62
Agriculture and Agri-Food Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",44854.16,3166.93
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,Electricity,450200.71,33576.05
Agriculture and Agri-Food Canada,FY 2016-17,facilities,2,District energy,48153,3996.45
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Liquified petroleum gas,3.34,0.2
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Gasoline,32818.08,2103.5
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",33326.15,2515.84
Agriculture and Agri-Food Canada,FY 2016-17,fleets,1,Fuels with renewable content,10630.82,630.55
Transport Canada,FY 2005-06,facilities,1,Natural gas,2139.57,106.41
Transport Canada,FY 2005-06,facilities,1,Liquified petroleum gas,3250.89,198.31
Transport Canada,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",15147.49,1078.82
Transport Canada,FY 2005-06,facilities,2,Electricity,56454.63,139.54
Transport Canada,FY 2005-06,fleets,1,Natural gas,0.03,2.20E-03
Transport Canada,FY 2005-06,fleets,1,Liquified petroleum gas,2032.81,123.04
Transport Canada,FY 2005-06,fleets,1,Gasoline,26505.19,1785.74
Transport Canada,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",574779.82,45126.7
Transport Canada,FY 2005-06,fleets,1,Aviation fuels,196710.39,13720.97
Transport Canada,FY 2005-06,fleets,1,Fuels with renewable content,94.24,1.53
Transport Canada,FY 2010-11,facilities,1,Natural gas,2554.42,127.05
Transport Canada,FY 2010-11,facilities,1,Liquified petroleum gas,2476.63,151.08
Transport Canada,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",21241.44,1508.03
Transport Canada,FY 2010-11,facilities,2,Electricity,55260.42,255.82
Transport Canada,FY 2010-11,fleets,1,Liquified petroleum gas,1887.61,114.25
Transport Canada,FY 2010-11,fleets,1,Gasoline,22231.01,1424.76
Transport Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",553626.45,43464.92
Transport Canada,FY 2010-11,fleets,1,Aviation fuels,152874.67,10658.46
Transport Canada,FY 2010-11,fleets,1,Fuels with renewable content,2686.65,166.84
Transport Canada,FY 2011-12,facilities,1,Natural gas,2997.9,149.11
Transport Canada,FY 2011-12,facilities,1,Liquified petroleum gas,3059.71,186.65
Transport Canada,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",16695.02,1188.87
Transport Canada,FY 2011-12,facilities,2,Electricity,56146.2,242.76
Transport Canada,FY 2011-12,fleets,1,Liquified petroleum gas,2032.82,123.04
Transport Canada,FY 2011-12,fleets,1,Gasoline,18741.76,1201.14
Transport Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",570732.84,44807.25
Transport Canada,FY 2011-12,fleets,1,Aviation fuels,87143.4,6074.55
Transport Canada,FY 2011-12,fleets,1,Fuels with renewable content,3065.1,191.86
Transport Canada,FY 2012-13,facilities,1,Natural gas,2854.96,142
Transport Canada,FY 2012-13,facilities,1,Liquified petroleum gas,2620.36,159.85
Transport Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",19504.51,1391.78
Transport Canada,FY 2012-13,facilities,2,Electricity,52359.69,257.83
Transport Canada,FY 2012-13,fleets,1,Liquified petroleum gas,1887.61,114.25
