Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t)
Environment and Climate Change Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",7178.69,516.51
Environment and Climate Change Canada,FY 2011-12,fleets,1,Fuels with renewable content,6507.67,409.2
Environment and Climate Change Canada,FY 2012-13,facilities,1,Natural gas,184346.51,9169.14
Environment and Climate Change Canada,FY 2012-13,facilities,1,Liquified petroleum gas,1665.19,101.58
Environment and Climate Change Canada,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",20009.06,1457.57
Environment and Climate Change Canada,FY 2012-13,facilities,2,Electricity,110743.92,4485.18
Environment and Climate Change Canada,FY 2012-13,fleets,1,Liquified petroleum gas,1.94,0.11
Environment and Climate Change Canada,FY 2012-13,fleets,1,Gasoline,40713.43,2609.89
Environment and Climate Change Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",6640.36,479.06
Environment and Climate Change Canada,FY 2012-13,fleets,1,Fuels with renewable content,6252.43,393.12
Environment and Climate Change Canada,FY 2013-14,facilities,1,Natural gas,191639.55,9531.88
Environment and Climate Change Canada,FY 2013-14,facilities,1,Liquified petroleum gas,2359.37,143.93
Environment and Climate Change Canada,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",19440.16,1416.13
Environment and Climate Change Canada,FY 2013-14,facilities,2,Electricity,108994.92,3587.71
Environment and Climate Change Canada,FY 2013-14,fleets,1,Liquified petroleum gas,1.51,0.09
Environment and Climate Change Canada,FY 2013-14,fleets,1,Gasoline,39620,2539.78
Environment and Climate Change Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",8468.87,608.74
Environment and Climate Change Canada,FY 2013-14,fleets,1,Fuels with renewable content,6826.44,429.23
Environment and Climate Change Canada,FY 2014-15,facilities,1,Natural gas,178661.04,8886.35
Environment and Climate Change Canada,FY 2014-15,facilities,1,Liquified petroleum gas,1238.93,75.57
Environment and Climate Change Canada,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",20932.36,1524.83
Environment and Climate Change Canada,FY 2014-15,facilities,2,Electricity,117418.75,3417.02
Environment and Climate Change Canada,FY 2014-15,fleets,1,Liquified petroleum gas,3.2,0.19
Environment and Climate Change Canada,FY 2014-15,fleets,1,Gasoline,35984.47,2306.69
Environment and Climate Change Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9277.55,666.48
Environment and Climate Change Canada,FY 2014-15,fleets,1,Fuels with renewable content,6982.3,439.03
Environment and Climate Change Canada,FY 2015-16,facilities,1,Natural gas,149899.12,7455.77
Environment and Climate Change Canada,FY 2015-16,facilities,1,Liquified petroleum gas,1205.91,73.56
Environment and Climate Change Canada,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",25597.99,1864.71
Environment and Climate Change Canada,FY 2015-16,facilities,2,Electricity,121515.04,3195.6
Environment and Climate Change Canada,FY 2015-16,fleets,1,Natural gas,1.82E-03,1.01E-04
Environment and Climate Change Canada,FY 2015-16,fleets,1,Liquified petroleum gas,1.84,0.11
Environment and Climate Change Canada,FY 2015-16,fleets,1,Gasoline,31295.36,2005.94
Environment and Climate Change Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9312.91,668.96
Environment and Climate Change Canada,FY 2015-16,fleets,1,Fuels with renewable content,5535.73,347.99
Environment and Climate Change Canada,FY 2016-17,facilities,1,Natural gas,154045.81,7662.02
Environment and Climate Change Canada,FY 2016-17,facilities,1,Liquified petroleum gas,1546.51,94.34
Environment and Climate Change Canada,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",25419.31,1851.69
Environment and Climate Change Canada,FY 2016-17,facilities,2,Electricity,130634.89,3249.68
Environment and Climate Change Canada,FY 2016-17,fleets,1,Liquified petroleum gas,2.58,0.15
Environment and Climate Change Canada,FY 2016-17,fleets,1,Gasoline,40300.88,2583.05
Environment and Climate Change Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",10179.57,724.61
Environment and Climate Change Canada,FY 2016-17,fleets,1,Fuels with renewable content,907.3,57.03
Canada Border Services Agency,FY 2005-06,facilities,1,Natural gas,51557.72,2564.41
Canada Border Services Agency,FY 2005-06,facilities,1,Liquified petroleum gas,2338.66,142.66
Canada Border Services Agency,FY 2005-06,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",11963.46,846.66
Canada Border Services Agency,FY 2005-06,facilities,2,Electricity,101139.4,4212.65
Canada Border Services Agency,FY 2005-06,fleets,1,Gasoline,59515.78,4009.66
Canada Border Services Agency,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",5738.14,409.01
Canada Border Services Agency,FY 2005-06,fleets,1,Fuels with renewable content,952.04,56.17
Canada Border Services Agency,FY 2010-11,facilities,1,Natural gas,41956.29,2086.84
Canada Border Services Agency,FY 2010-11,facilities,1,Liquified petroleum gas,2778.86,169.52
Canada Border Services Agency,FY 2010-11,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9921.79,700.09
Canada Border Services Agency,FY 2010-11,facilities,2,Electricity,104926.99,5157.51
Canada Border Services Agency,FY 2010-11,fleets,1,Gasoline,54108.42,3467.57
Canada Border Services Agency,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4263.82,308.91
Canada Border Services Agency,FY 2010-11,fleets,1,Fuels with renewable content,6681.68,221.89
Canada Border Services Agency,FY 2011-12,facilities,1,Natural gas,50814.06,2527.42
Canada Border Services Agency,FY 2011-12,facilities,1,Liquified petroleum gas,3184.98,194.29
Canada Border Services Agency,FY 2011-12,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",10248.86,723.16
Canada Border Services Agency,FY 2011-12,facilities,2,Electricity,115084.91,4314.17
Canada Border Services Agency,FY 2011-12,fleets,1,Gasoline,54031.79,3462.66
Canada Border Services Agency,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4264.81,309.74
Canada Border Services Agency,FY 2011-12,fleets,1,Fuels with renewable content,7420.5,137.13
Canada Border Services Agency,FY 2012-13,facilities,1,Natural gas,68107.42,3387.57
Canada Border Services Agency,FY 2012-13,facilities,1,Liquified petroleum gas,3758.83,229.3
Canada Border Services Agency,FY 2012-13,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",11055.54,779.82
Canada Border Services Agency,FY 2012-13,facilities,2,Electricity,122119.06,4720.62
Canada Border Services Agency,FY 2012-13,fleets,1,Gasoline,48819.77,3128.64
Canada Border Services Agency,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3056.9,220.89
Canada Border Services Agency,FY 2012-13,fleets,1,Fuels with renewable content,8461.74,150.38
Canada Border Services Agency,FY 2013-14,facilities,1,Natural gas,70647.02,3513.88
Canada Border Services Agency,FY 2013-14,facilities,1,Liquified petroleum gas,4173.37,254.59
Canada Border Services Agency,FY 2013-14,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",13709.31,971.31
Canada Border Services Agency,FY 2013-14,facilities,2,Electricity,123563.61,4242.52
Canada Border Services Agency,FY 2013-14,fleets,1,Gasoline,49525.49,3173.87
Canada Border Services Agency,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2907.58,208.28
Canada Border Services Agency,FY 2013-14,fleets,1,Fuels with renewable content,10693.7,671.24
Canada Border Services Agency,FY 2014-15,facilities,1,Natural gas,62995.91,3133.33
Canada Border Services Agency,FY 2014-15,facilities,1,Liquified petroleum gas,3802.18,231.94
Canada Border Services Agency,FY 2014-15,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",9539.07,677.97
Canada Border Services Agency,FY 2014-15,facilities,2,Electricity,121451.27,4017.54
Canada Border Services Agency,FY 2014-15,fleets,1,Liquified petroleum gas,4.73,0.28
Canada Border Services Agency,FY 2014-15,fleets,1,Gasoline,51177.29,3279.73
Canada Border Services Agency,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3225.84,230.96
Canada Border Services Agency,FY 2014-15,fleets,1,Fuels with renewable content,10676.96,670.19
Canada Border Services Agency,FY 2015-16,facilities,1,Natural gas,62221.09,3094.79
Canada Border Services Agency,FY 2015-16,facilities,1,Liquified petroleum gas,2764.08,168.61
Canada Border Services Agency,FY 2015-16,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",15641.99,1112.67
Canada Border Services Agency,FY 2015-16,facilities,2,Electricity,126115.6,3901.49
Canada Border Services Agency,FY 2015-16,fleets,1,Gasoline,50682.86,3248.03
Canada Border Services Agency,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3050.66,216.89
Canada Border Services Agency,FY 2015-16,fleets,1,Fuels with renewable content,10433.56,655.89
Canada Border Services Agency,FY 2016-17,facilities,1,Natural gas,55528.88,2761.93
Canada Border Services Agency,FY 2016-17,facilities,1,Liquified petroleum gas,2015.76,122.96
Canada Border Services Agency,FY 2016-17,facilities,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",20256.8,1445.46
Canada Border Services Agency,FY 2016-17,facilities,2,Electricity,121035.75,3907.03
Canada Border Services Agency,FY 2016-17,fleets,1,Gasoline,59451.7,3809.99
Canada Border Services Agency,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3185.89,226.66
Canada Border Services Agency,FY 2016-17,fleets,1,Fuels with renewable content,302.42,18.89
Health Canada,FY 2005-06,fleets,1,Gasoline,45419.84,3060
Health Canada,FY 2010-11,fleets,1,Natural gas,4.76E-03,2.63E-04
Health Canada,FY 2010-11,fleets,1,Gasoline,32232,2065.61
Health Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",107.76,7.68
Health Canada,FY 2010-11,fleets,1,Fuels with renewable content,3805.39,228.15
Health Canada,FY 2011-12,fleets,1,Gasoline,30381.78,1947.03
Health Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",89.43,6.37
Health Canada,FY 2011-12,fleets,1,Fuels with renewable content,6041.74,367.55
Health Canada,FY 2012-13,fleets,1,Natural gas,1.64E-03,9.07E-05
Health Canada,FY 2012-13,fleets,1,Liquified petroleum gas,0.61,0.03
Health Canada,FY 2012-13,fleets,1,Gasoline,30265.95,1939.61
Health Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",181.34,12.92
Health Canada,FY 2012-13,fleets,1,Fuels with renewable content,6432.95,399.07
Health Canada,FY 2013-14,fleets,1,Gasoline,27805.82,1781.95
Health Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",134.47,9.58
Health Canada,FY 2013-14,fleets,1,Fuels with renewable content,5540.44,348.29
Health Canada,FY 2014-15,fleets,1,Gasoline,23630.6,1514.38
Health Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",230.37,16.42
Health Canada,FY 2014-15,fleets,1,Fuels with renewable content,5173.8,325.24
Health Canada,FY 2015-16,fleets,1,Gasoline,24168.87,1548.87
Health Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",343.57,24.48
Health Canada,FY 2015-16,fleets,1,Fuels with renewable content,5181.35,325.71
Health Canada,FY 2016-17,fleets,1,Gasoline,31220.47,2000.78
Health Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",315.4,22.48
Health Canada,FY 2016-17,fleets,1,Fuels with renewable content,987.82,62.09
"Innovation, Science and Economic Development Canada",FY 2005-06,fleets,1,Natural gas,0.25,0.01
"Innovation, Science and Economic Development Canada",FY 2005-06,fleets,1,Liquified petroleum gas,93.02,5.63
"Innovation, Science and Economic Development Canada",FY 2005-06,fleets,1,Gasoline,22674.87,1527.63
"Innovation, Science and Economic Development Canada",FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",4205.74,299.78
"Innovation, Science and Economic Development Canada",FY 2005-06,fleets,1,Fuels with renewable content,1189.37,74.76
"Innovation, Science and Economic Development Canada",FY 2010-11,fleets,1,Natural gas,0.01,9.63E-04
"Innovation, Science and Economic Development Canada",FY 2010-11,fleets,1,Gasoline,16174.79,1036.57
"Innovation, Science and Economic Development Canada",FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2918.92,208.05
"Innovation, Science and Economic Development Canada",FY 2010-11,fleets,1,Fuels with renewable content,2182.95,136.44
"Innovation, Science and Economic Development Canada",FY 2011-12,fleets,1,Natural gas,9.88E-03,5.46E-04
"Innovation, Science and Economic Development Canada",FY 2011-12,fleets,1,Liquified petroleum gas,0.53,0.03
"Innovation, Science and Economic Development Canada",FY 2011-12,fleets,1,Gasoline,14559.33,933.04
"Innovation, Science and Economic Development Canada",FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3379.28,240.87
"Innovation, Science and Economic Development Canada",FY 2011-12,fleets,1,Fuels with renewable content,3487.59,218.12
"Innovation, Science and Economic Development Canada",FY 2012-13,fleets,1,Natural gas,1.71E-03,9.45E-05
"Innovation, Science and Economic Development Canada",FY 2012-13,fleets,1,Gasoline,12906.91,827.14
"Innovation, Science and Economic Development Canada",FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",2906.74,207.19
"Innovation, Science and Economic Development Canada",FY 2012-13,fleets,1,Fuels with renewable content,3481.78,218.39
"Innovation, Science and Economic Development Canada",FY 2013-14,fleets,1,Natural gas,2.56E-03,1.42E-04
"Innovation, Science and Economic Development Canada",FY 2013-14,fleets,1,Liquified petroleum gas,0.25,0.01
"Innovation, Science and Economic Development Canada",FY 2013-14,fleets,1,Gasoline,11513.24,737.83
"Innovation, Science and Economic Development Canada",FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3323.25,236.87
"Innovation, Science and Economic Development Canada",FY 2013-14,fleets,1,Fuels with renewable content,3180.55,192.03
"Innovation, Science and Economic Development Canada",FY 2014-15,fleets,1,Natural gas,1.44E-03,7.94E-05
"Innovation, Science and Economic Development Canada",FY 2014-15,fleets,1,Gasoline,10307.28,660.54
"Innovation, Science and Economic Development Canada",FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3583.3,255.41
"Innovation, Science and Economic Development Canada",FY 2014-15,fleets,1,Fuels with renewable content,2837.18,169.65
"Innovation, Science and Economic Development Canada",FY 2015-16,fleets,1,Gasoline,10542.24,675.6
"Innovation, Science and Economic Development Canada",FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3856,274.85
"Innovation, Science and Economic Development Canada",FY 2015-16,fleets,1,Fuels with renewable content,2436.53,150.5
"Innovation, Science and Economic Development Canada",FY 2016-17,fleets,1,Gasoline,12859.73,824.12
"Innovation, Science and Economic Development Canada",FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",3741.79,266.71
"Innovation, Science and Economic Development Canada",FY 2016-17,fleets,1,Fuels with renewable content,307.43,18.09
Employment and Social Development Canada,FY 2005-06,fleets,1,Liquified petroleum gas,2.81,0.17
Employment and Social Development Canada,FY 2005-06,fleets,1,Gasoline,21035.26,1417.17
Employment and Social Development Canada,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",207.17,14.76
Employment and Social Development Canada,FY 2005-06,fleets,1,Fuels with renewable content,111.56,7.01
Employment and Social Development Canada,FY 2010-11,fleets,1,Natural gas,5.09E-03,2.81E-04
Employment and Social Development Canada,FY 2010-11,fleets,1,Liquified petroleum gas,1.77,0.1
Employment and Social Development Canada,FY 2010-11,fleets,1,Gasoline,13930.14,892.72
Employment and Social Development Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",217.97,15.52
Employment and Social Development Canada,FY 2010-11,fleets,1,Fuels with renewable content,473.14,29.7
Employment and Social Development Canada,FY 2011-12,fleets,1,Natural gas,0.01,7.93E-04
Employment and Social Development Canada,FY 2011-12,fleets,1,Liquified petroleum gas,2.14,0.12
Employment and Social Development Canada,FY 2011-12,fleets,1,Gasoline,11864.14,760.32
Employment and Social Development Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",247.01,17.53
Employment and Social Development Canada,FY 2011-12,fleets,1,Fuels with renewable content,1167.89,73.41
Employment and Social Development Canada,FY 2012-13,fleets,1,Natural gas,0.01,5.65E-04
Employment and Social Development Canada,FY 2012-13,fleets,1,Liquified petroleum gas,0.78,0.04
Employment and Social Development Canada,FY 2012-13,fleets,1,Gasoline,9702.87,621.81
Employment and Social Development Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",122.67,8.74
Employment and Social Development Canada,FY 2012-13,fleets,1,Fuels with renewable content,997.1,62.68
Employment and Social Development Canada,FY 2013-14,fleets,1,Liquified petroleum gas,0.77,0.04
Employment and Social Development Canada,FY 2013-14,fleets,1,Gasoline,7912.58,507.08
Employment and Social Development Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",8.18,0.58
Employment and Social Development Canada,FY 2013-14,fleets,1,Fuels with renewable content,828.99,52.11
Employment and Social Development Canada,FY 2014-15,fleets,1,Gasoline,5399.96,346.06
Employment and Social Development Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",1.94,0.13
Employment and Social Development Canada,FY 2014-15,fleets,1,Fuels with renewable content,549.2,34.52
Employment and Social Development Canada,FY 2015-16,fleets,1,Gasoline,5114.34,327.75
Employment and Social Development Canada,FY 2016-17,fleets,1,Gasoline,4962.17,318
Employment and Social Development Canada,FY 2016-17,fleets,1,Fuels with renewable content,8.17,0.51
Indigenous and Northern Affairs Canada,FY 2005-06,fleets,1,Gasoline,9349.43,629.88
Indigenous and Northern Affairs Canada,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",184.08,13.12
Indigenous and Northern Affairs Canada,FY 2005-06,fleets,1,Fuels with renewable content,57.68,3.48
Indigenous and Northern Affairs Canada,FY 2010-11,fleets,1,Gasoline,7457.6,477.92
Indigenous and Northern Affairs Canada,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",926.15,66.01
Indigenous and Northern Affairs Canada,FY 2010-11,fleets,1,Fuels with renewable content,598.05,10.89
Indigenous and Northern Affairs Canada,FY 2011-12,fleets,1,Gasoline,7246.56,464.4
Indigenous and Northern Affairs Canada,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",695.22,49.55
Indigenous and Northern Affairs Canada,FY 2011-12,fleets,1,Fuels with renewable content,625.76,10.18
Indigenous and Northern Affairs Canada,FY 2012-13,fleets,1,Gasoline,6861.09,439.69
Indigenous and Northern Affairs Canada,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",567.81,40.47
Indigenous and Northern Affairs Canada,FY 2012-13,fleets,1,Fuels with renewable content,532.42,8.66
Indigenous and Northern Affairs Canada,FY 2013-14,fleets,1,Liquified petroleum gas,4.22,0.25
Indigenous and Northern Affairs Canada,FY 2013-14,fleets,1,Gasoline,6326.08,405.41
Indigenous and Northern Affairs Canada,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",612.77,43.67
Indigenous and Northern Affairs Canada,FY 2013-14,fleets,1,Fuels with renewable content,402.28,6.54
Indigenous and Northern Affairs Canada,FY 2014-15,fleets,1,Gasoline,5146.07,329.78
Indigenous and Northern Affairs Canada,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",67.89,4.82
Indigenous and Northern Affairs Canada,FY 2014-15,fleets,1,Fuels with renewable content,422.93,6.88
Indigenous and Northern Affairs Canada,FY 2015-16,fleets,1,Gasoline,5251.11,336.52
Indigenous and Northern Affairs Canada,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",41.15,2.93
Indigenous and Northern Affairs Canada,FY 2015-16,fleets,1,Fuels with renewable content,451.21,7.34
Indigenous and Northern Affairs Canada,FY 2016-17,fleets,1,Gasoline,6277.23,402.28
Indigenous and Northern Affairs Canada,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",16.56,1.18
Indigenous and Northern Affairs Canada,FY 2016-17,fleets,1,Fuels with renewable content,6.3,0.1
Canada Revenue Agency,FY 2005-06,fleets,1,Gasoline,5003.91,337.12
Canada Revenue Agency,FY 2005-06,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",925.9,65.99
Canada Revenue Agency,FY 2010-11,fleets,1,Gasoline,3925.49,251.56
Canada Revenue Agency,FY 2010-11,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",821.22,58.53
Canada Revenue Agency,FY 2010-11,fleets,1,Fuels with renewable content,1001.07,62.83
Canada Revenue Agency,FY 2011-12,fleets,1,Gasoline,4425.57,283.61
Canada Revenue Agency,FY 2011-12,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",766.16,54.38
Canada Revenue Agency,FY 2011-12,fleets,1,Fuels with renewable content,559.43,35.16
Canada Revenue Agency,FY 2012-13,fleets,1,Gasoline,3838.62,246
Canada Revenue Agency,FY 2012-13,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",714.32,50.89
Canada Revenue Agency,FY 2012-13,fleets,1,Fuels with renewable content,430.32,27.05
Canada Revenue Agency,FY 2013-14,fleets,1,Gasoline,3496.01,224.04
Canada Revenue Agency,FY 2013-14,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",735.85,52.45
Canada Revenue Agency,FY 2013-14,fleets,1,Fuels with renewable content,346.52,21.78
Canada Revenue Agency,FY 2014-15,fleets,1,Gasoline,3259.48,208.88
Canada Revenue Agency,FY 2014-15,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",461.97,32.92
Canada Revenue Agency,FY 2014-15,fleets,1,Fuels with renewable content,311.64,19.59
Canada Revenue Agency,FY 2015-16,fleets,1,Gasoline,2918.68,187.04
Canada Revenue Agency,FY 2015-16,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",332.62,23.7
Canada Revenue Agency,FY 2015-16,fleets,1,Fuels with renewable content,261.08,16.41
Canada Revenue Agency,FY 2016-17,fleets,1,Gasoline,3120.72,199.99
Canada Revenue Agency,FY 2016-17,fleets,1,"Fuel oil (1, 2, 4, 5, 6, diesel, kerosene)",513.84,36.62
Canada Revenue Agency,FY 2016-17,fleets,1,Fuels with renewable content,9.33,0.15
"Immigration, Refugees and Citizenship Canada",FY 2005-06,fleets,1,Gasoline,1392.32,93.8
"Immigration, Refugees and Citizenship Canada",FY 2010-11,fleets,1,Gasoline,1072.96,68.76
"Immigration, Refugees and Citizenship Canada",FY 2010-11,fleets,1,Fuels with renewable content,230.18,14.47
"Immigration, Refugees and Citizenship Canada",FY 2011-12,fleets,1,Gasoline,684.61,43.87
"Immigration, Refugees and Citizenship Canada",FY 2011-12,fleets,1,Fuels with renewable content,285.37,17.93
"Immigration, Refugees and Citizenship Canada",FY 2012-13,fleets,1,Gasoline,829.72,53.17
"Immigration, Refugees and Citizenship Canada",FY 2012-13,fleets,1,Fuels with renewable content,268.9,16.9
"Immigration, Refugees and Citizenship Canada",FY 2013-14,fleets,1,Gasoline,640.19,41.02
"Immigration, Refugees and Citizenship Canada",FY 2014-15,fleets,1,Gasoline,743.46,47.64
"Immigration, Refugees and Citizenship Canada",FY 2015-16,fleets,1,Gasoline,846.41,54.24
"Immigration, Refugees and Citizenship Canada",FY 2016-17,fleets,1,Gasoline,797.27,51.09
